"Story","Title","Result","Date","Stability","Duration (s)"
"Nombre de la moneda","Nombre de moneda correcta","SUCCESS","2021-10-21T11:45:02.1105658-05:00[America/Bogota]","0.0","3.57"
"Nombre de la moneda","Nombre de moneda incorrecta","SUCCESS","2021-10-21T11:45:05.6881106-05:00[America/Bogota]","0.0","0.45"
